timestamp,indicator,indicator_type,country,country_code,abuse_confidence_score,vt_malicious_count,risk_level,mitre_id,mitre_technique,mitre_tactic,status
2026-08-13 09:40:41,bad-actor-c2.xyz,Domain,Iran,IR,33,39,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-13 12:48:41,0e8c00ab72fbb011b03d4f156dd2d1aa29c5c3947b22c7d42ffa61b5548a94bd,File Hash (SHA256),Germany,DE,0,5,Medium,T1566,Phishing,Initial Access,Monitored
2026-08-13 14:27:41,737ee4bcc15734955d1b3f90f08cae10787a5ce8b87d4484d2d28d91ccb22682,File Hash (SHA256),Iran,IR,100,45,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-13 14:48:41,update-m365-portal.org,Domain,Brazil,BR,10,57,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-13 15:13:41,aedb2d8515d854ead75aee89af98c61189f25a10d29193cbfab84e57d39323b0,File Hash (SHA256),Russia,RU,95,28,Critical,T1566,Phishing,Initial Access,Contained
2026-08-13 17:05:41,201.250.148.66,IPv4,Iran,IR,45,63,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-13 18:16:41,159.12.92.151,IPv4,Russia,RU,44,35,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-13 18:29:41,b79ba5a2fa6484c708433a9cd2795e0989ef806ceb05e000f0910769c8af4b71,File Hash (SHA256),Brazil,BR,75,40,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-13 19:40:41,4.90.159.248,IPv4,United States,US,77,6,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-13 21:23:41,00f250829ab20d6f5c6780c2ca28d84e94f6e5380184841e0d61e27a5d3c9686,File Hash (SHA256),China,CN,44,6,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-13 21:47:41,6d63e1f51c4a356c8d965f13b04aab47dd13d82de8958bd64e14c154ec1f307e,File Hash (SHA256),United Kingdom,GB,77,33,Critical,T1566,Phishing,Initial Access,Contained
2026-08-14 00:35:41,116.109.116.119,IPv4,United Kingdom,GB,99,2,Critical,T1071,Application Layer Protocol,Command and Control,Active Investigation
2026-08-14 03:42:41,3c49378ce02be55e6e21c530c3bdc65288bf1fb192c57ad5739fe698a63264f3,File Hash (SHA256),Russia,RU,51,29,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-14 03:46:41,70.6.180.116,IPv4,Netherlands,NL,67,37,Critical,T1071,Application Layer Protocol,Command and Control,Active Investigation
2026-08-14 04:25:41,ebfb68e9c479e0ffef2ea06dacf4893ea6a20fc71adc9ae4072b5df442d130f3,File Hash (SHA256),North Korea,KP,35,30,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-14 07:16:41,c7f6a785588b919534e17ed110052b1461a85faa1fd89ff4dd28f6ed072b66e1,File Hash (SHA256),Iran,IR,18,61,Critical,T1071,Application Layer Protocol,Command and Control,Active Investigation
2026-08-14 09:25:41,b25e716ce06b45e0932f0c787a2f6abefb08159e6c1b6bbed4176f7ff0a53a5e,File Hash (SHA256),Brazil,BR,77,19,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-14 11:28:41,f1a32bdbb7c286c89804417e9c9417f73be668f958ce709b5887aab4e17da9a6,File Hash (SHA256),China,CN,13,58,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-14 12:11:41,login-verify-update.com,Domain,United States,US,40,13,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-14 14:32:41,ef030c88b20619d343470d9f4628280d9f456d3c49a833f8097479b72ff424cf,File Hash (SHA256),Germany,DE,94,11,Critical,T1566,Phishing,Initial Access,Active Investigation
2026-08-14 14:53:41,update-m365-portal.org,Domain,Germany,DE,81,72,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-14 14:56:41,bad-actor-c2.xyz,Domain,United States,US,30,58,Critical,T1110,Brute Force,Credential Access,Active Investigation
2026-08-14 16:27:41,1a85ba79a8ab081a7fc86283326a36a08f2f2f61ef13b9f923d792b33c772cea,File Hash (SHA256),China,CN,99,58,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-14 16:37:41,bad-actor-c2.xyz,Domain,North Korea,KP,6,73,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-14 16:43:41,153150faa9735e0ebadad8399c28b71acd18d6f0eb404bc5e76cd351d9b7dd87,File Hash (SHA256),North Korea,KP,69,58,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-14 18:41:41,login-verify-update.com,Domain,United States,US,62,63,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-14 18:51:41,97.147.86.167,IPv4,China,CN,53,26,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-14 20:23:41,206.240.66.118,IPv4,China,CN,35,17,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-14 21:24:41,bad-actor-c2.xyz,Domain,Brazil,BR,93,6,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-14 21:28:41,108.224.19.212,IPv4,Iran,IR,58,26,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-14 22:51:41,8ef6d8f9fab9a5250459fa30ff069a9f1545d3b9c66e0232dfb885fc728f7783,File Hash (SHA256),Iran,IR,79,26,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-14 23:22:41,update-m365-portal.org,Domain,Iran,IR,10,39,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-15 00:48:41,update-m365-portal.org,Domain,Netherlands,NL,66,27,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-15 00:51:41,185.240.183.234,IPv4,Brazil,BR,63,26,High,T1566,Phishing,Initial Access,Investigating
2026-08-15 00:59:41,5a585b29d28680ff5d8f2c24087e15bf6b826cdbe62f5188e9f8540c5d0adec8,File Hash (SHA256),United States,US,96,50,Critical,T1071,Application Layer Protocol,Command and Control,Active Investigation
2026-08-15 03:01:41,be87de6f4a76f94b279c1eab1cac4bafcb4dbb1fd4df530c3f009a3414ab8128,File Hash (SHA256),United Kingdom,GB,12,5,Medium,T1071,Application Layer Protocol,Command and Control,Monitored
2026-08-15 03:05:41,215.131.106.197,IPv4,United States,US,28,34,Critical,T1059,Command and Scripting Interpreter,Execution,Active Investigation
2026-08-15 04:33:41,5738a213fe90cce5dda8a55ba48474dcbde5c525664346096fb868dcd71d57ca,File Hash (SHA256),United States,US,11,14,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-15 09:39:41,update-m365-portal.org,Domain,China,CN,56,54,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-15 11:51:41,secure-account-auth.net,Domain,United Kingdom,GB,54,65,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-15 13:54:41,2df2790925189ece84382cabeb16cd953e1b6afb35b32989b445805d79440cdf,File Hash (SHA256),Brazil,BR,76,65,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-15 14:19:41,9c7fa477835870a005251d959fa65bd7ebb31ffe5c74d4f0ab60e8084e878314,File Hash (SHA256),North Korea,KP,37,42,Critical,T1003,OS Credential Dumping,Credential Access,Active Investigation
2026-08-15 14:26:41,216.150.179.195,IPv4,Brazil,BR,26,23,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-15 18:44:41,195.124.44.78,IPv4,China,CN,2,66,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-15 19:04:41,bad-actor-c2.xyz,Domain,United Kingdom,GB,45,31,Critical,T1566,Phishing,Initial Access,Active Investigation
2026-08-16 00:11:41,92.63.231.78,IPv4,Brazil,BR,67,23,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-16 05:21:41,be950a46e7e25076899e7ec9ebc38b1b90bf68b764f10a949dac4a4521f818fc,File Hash (SHA256),United Kingdom,GB,32,19,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-16 05:37:41,201.58.220.216,IPv4,China,CN,75,11,High,T1110,Brute Force,Credential Access,Investigating
2026-08-16 06:35:41,107.172.243.62,IPv4,United States,US,16,34,Critical,T1059,Command and Scripting Interpreter,Execution,Active Investigation
2026-08-16 06:45:41,33.68.31.105,IPv4,Netherlands,NL,31,18,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-16 07:14:41,secure-account-auth.net,Domain,North Korea,KP,14,36,Critical,T1566,Phishing,Initial Access,Contained
2026-08-16 08:06:41,18dbac1475628b614603774fbdaa98f1a304ac0474b3352bb49909a5a20c9400,File Hash (SHA256),Netherlands,NL,82,31,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-16 08:50:41,update-m365-portal.org,Domain,China,CN,11,1,Medium,T1003,OS Credential Dumping,Credential Access,Monitored
2026-08-16 10:05:41,109.92.44.141,IPv4,United Kingdom,GB,52,34,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-16 10:46:41,77.21.238.83,IPv4,United States,US,13,1,Medium,T1071,Application Layer Protocol,Command and Control,Monitored
2026-08-16 10:58:41,136.87.23.157,IPv4,Russia,RU,13,55,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-16 11:43:41,110.191.33.76,IPv4,United Kingdom,GB,87,22,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-16 14:44:41,178.79.119.64,IPv4,Germany,DE,71,62,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-16 15:38:41,update-m365-portal.org,Domain,Russia,RU,45,45,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-16 15:52:41,login-verify-update.com,Domain,North Korea,KP,44,44,Critical,T1566,Phishing,Initial Access,Contained
2026-08-16 19:17:41,64.68.115.71,IPv4,China,CN,85,18,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-16 19:29:41,update-m365-portal.org,Domain,China,CN,22,63,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-16 20:44:41,4d3050d7a120e9758841e3efd9e186e36e125d220e315b5f6725b6ddfd94c76d,File Hash (SHA256),Netherlands,NL,39,56,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-16 20:57:41,bad-actor-c2.xyz,Domain,United States,US,29,41,Critical,T1566,Phishing,Initial Access,Contained
2026-08-16 23:52:41,105.176.229.64,IPv4,United States,US,53,31,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-17 00:38:41,login-verify-update.com,Domain,North Korea,KP,24,69,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-17 01:27:41,47035d07f3bdc68b0d24f149cc9ffbdb69176552872acb15339a526ceaadd7cb,File Hash (SHA256),Netherlands,NL,29,3,Medium,T1110,Brute Force,Credential Access,Monitored
2026-08-17 03:30:41,9b7cf781314e6264b87b7251c6f6af70241104c8b9e7b1ed2d0505c3c52d6391,File Hash (SHA256),Netherlands,NL,66,9,High,T1566,Phishing,Initial Access,Investigating
2026-08-17 04:08:41,75.213.213.251,IPv4,Iran,IR,93,55,Critical,T1566,Phishing,Initial Access,Contained
2026-08-17 04:46:41,login-verify-update.com,Domain,North Korea,KP,73,14,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-17 07:51:41,19319882fe1158664431a4e96eea62ed8ad5869310621bf8e2fd4d6ba9d1b04c,File Hash (SHA256),China,CN,100,32,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-17 08:38:41,84.107.231.16,IPv4,North Korea,KP,46,69,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-17 09:08:41,5b9cc6e7a344515786aee866c05a0fc53586a668f6ab5e4d3f183902290e722c,File Hash (SHA256),Iran,IR,49,29,High,T1566,Phishing,Initial Access,Investigating
